chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Mn-O,Mn2O3_771717_POSCAR,35,local_max_drop,6.8955497,-0.3508760149185,-0.1692726949908026,-0.1816033199276973,6.365123,12.995459,0.02382795,mp-771717,Mn2O3,Orthorhombic,Pna2_1,33,0.088202734374998,-1.925717109172413,False,0.0,True,4.658923556506842,40,450.15793537217303,11.253948384304326,208.89416326497772,0.4640463865027108,46.40463865027108
Mn-O,Mn2O3_778470_POSCAR,35,local_max_drop,11.4689797155,-1.2182071874956,-0.6531235578520787,-0.5650836296435213,10.194649,20.814074,0.05973423,mp-778470,Mn2O3,Tetragonal,P4_12_12,92,0.078851421625,-1.935068421922413,False,0.0,True,4.442862741381253,160,1888.1982463422953,11.801239039639345,835.576653059916,0.4425259130912472,44.252591309124725
Mn-O,Mn3O4_1180464_POSCAR,35,local_max_drop,3.8974728,-0.16582940213341,-0.0754647400766387,-0.0903646620567713,3.597667,7.345237,0.01772774,mp-1180464,Mn3O4,Orthorhombic,Pbcm,57,0.5794239267857131,-1.4709853137561582,False,0.0,True,3.310253593166713,28,459.11990023767487,16.397139294202674,154.2621015913028,0.33599524113732643,33.59952411373264
Mn-O,Mn3O4_1180876_POSCAR,35,local_max_drop,15.52410495,-0.15263190900393,-0.0675755727559529,-0.085056336247977,13.799204,28.173376,0.00415923,mp-1180876,Mn3O4,Monoclinic,P2_1,4,0.186082833928571,-1.864326406613301,False,0.0,True,3.064849749585875,28,495.88182900383856,17.71006532156566,154.2621015913028,0.31108641730469355,31.108641730469355
Mn-O,Mn3O4_1193728_POSCAR,35,local_max_drop,4.28301,-0.19498506081442,-0.0891474788202866,-0.1058375819941333,3.64849,7.77287,0.02111814,mp-1193728,Mn3O4,Orthorhombic,Pbcm,57,0.218974626785714,-1.831434613756158,False,0.0,True,3.762579513540525,28,403.9258955157591,14.42592483984854,154.2621015913028,0.3819069371482876,38.19069371482876
Mn-O,Mn3O4_1194100_POSCAR,35,local_max_drop,4.27809195,-0.19092582683694,-0.0868888836269786,-0.1040369432099613,3.644301,7.763945,0.02051651,mp-1194100,Mn3O4,Orthorhombic,Cmcm,63,0.222679115,-1.827730125541872,False,0.0,True,3.683272828814417,28,412.6230583753159,14.736537799118425,154.2621015913028,0.3738572008038103,37.38572008038103
Mn-O,Mn3O4_1279995_POSCAR,35,local_max_drop,3.990231603,-0.29745268888164,-0.1171415330006899,-0.18031115588095,2.915938,7.520052,0.02807374,mp-1279995,Mn3O4,Orthorhombic,Pmc2_1,26,0.055026327857143,-1.995382912684729,False,0.831199999999999,False,5.08604825311055,28,298.81810501346064,10.672075179052166,154.2621015913028,0.5162408134016976,51.62408134016976
Mn-O,Mn3O4_18759_POSCAR,35,local_max_drop,7.7528029121,-0.12906588778235,-0.0617883285224022,-0.0672775592599477,6.89138,14.069902,0.00827731,mp-18759,Mn3O4,Tetragonal,I4_1/amd,141,0.0,-2.050409240541872,True,0.8134999999999991,False,4.886374081713801,14,155.51442358903404,11.108173113502431,77.1310507956515,0.4959736146370563,49.59736146370563
Mn-O,Mn3O4_20141_POSCAR,35,local_max_drop,3.990805,-0.29584085296341,-0.1178727729728882,-0.1779680799905217,2.916358,7.521133,0.0282237,mp-20141,Mn3O4,Orthorhombic,Pbcm,57,0.052537243571428,-1.997871996970443,False,0.0,True,5.114619784469388,28,297.14883285574314,10.612458316276541,154.2621015913028,0.519140863212451,51.9140863212451
Mn-O,Mn3O4_638270_POSCAR,35,local_max_drop,4.2661566,-0.19380065832357,-0.0881069416558204,-0.1056937166677495,3.634133,7.742284,0.02086607,mp-638270,Mn3O4,Monoclinic,Pm,6,0.218697328571428,-1.831711911970444,False,0.0,True,3.746703958101553,28,405.6374127026314,14.487050453665407,154.2621015913028,0.38029554661515097,38.0295546615151
Mn-O,Mn5O7_1046066_POSCAR,35,local_max_drop,6.98656764,-0.22215896872503,-0.0855955561114492,-0.1365634126135807,5.105569,13.166993,0.0115456,mp-1046066,Mn5O7,Orthorhombic,Cmcm,63,0.234434443072915,-1.8007708820545991,False,0.0,True,4.353892651716696,24,294.9577781385848,12.289907422441033,129.354591611896,0.4385529089221687,43.85529089221687
