chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Ti-O,TiO2_1245308_POSCAR,mp-1245308,TiO2,Triclinic,P1,1,0.170228140944443,-3.337827311,False,2.3002,False,3.717563412087061,90,1070.2193847898882,11.891326497665425,586.9741660870709,0.5484615345500485,54.84615345500485
Ti-O,TiO2_1245321_POSCAR,mp-1245321,TiO2,Triclinic,P1,1,0.189298021277776,-3.318757430666667,False,2.4087,False,3.4652433026979352,90,1148.146921420513,12.757188015783479,586.9741660870709,0.5112361102365308,51.12361102365308
Ti-O,TiO2_1341203_POSCAR,mp-1341203,TiO2,Orthorhombic,Pmmn,59,0.157399472916667,-3.350655979027777,False,2.513699999999999,False,3.201204358899244,24,331.4259662719306,13.809415261330441,156.5264442898846,0.4722817769850198,47.22817769850198
Ti-O,TiO2_1350429_POSCAR,mp-1350429,TiO2,Monoclinic,Cm,8,0.185550241458333,-3.322505210486111,False,1.0603,False,3.5407515408020043,48,599.286470453992,12.485134801124834,313.0528885797693,0.5223760321881031,52.237603218810314
Ti-O,TiO2_1380335_POSCAR,mp-1380335,TiO2,Trigonal,P3m1,156,0.177490463333333,-3.33056498861111,False,1.7183000000000002,False,3.428841920170264,36,464.1343665218598,12.892621292273883,234.78966643482696,0.5058657220198944,50.58657220198944
Ti-O,TiO2_1408285_POSCAR,mp-1408285,TiO2,Trigonal,R3m,160,0.187470469999999,-3.320584981944444,False,2.4461,False,3.548799691067656,12,149.48184426006117,12.456820355005098,78.26322214494242,0.5235633968282055,52.356339682820554
Ti-O,TiO2_1426806_POSCAR,mp-1426806,TiO2,Trigonal,R-3m,166,0.1582194675,-3.349835984444444,False,2.6004,False,2.445862444797379,3,54.22229748258934,18.074099160863113,19.565805536235597,0.3608442733825164,36.08442733825164
Ti-O,TiO2_1439_POSCAR,mp-1439,TiO2,Orthorhombic,Pbcn,60,0.004523600833332,-3.503531851111111,False,2.5281,False,4.307081249474625,12,123.16487505448308,10.263739587873589,78.26322214494242,0.635434592129631,63.54345921296311
Ti-O,TiO2_1445035_POSCAR,mp-1445035,TiO2,Hexagonal,P6_3/mmc,194,2.7445488075,-0.763506644444444,False,0.0,True,2.355580094225261,6,112.60095248000432,18.766825413334054,39.13161107247118,0.3475246897171689,34.75246897171689
Ti-O,TiO2_1840_POSCAR,mp-1840,TiO2,Orthorhombic,Pbca,61,0.0030413275,-3.505014124444444,False,2.2862,False,4.105159895594103,24,258.44602277752557,10.7685842823969,156.5264442898846,0.6056446240019141,60.56446240019141
Ti-O,TiO2_2739239_POSCAR,mp-2739239,TiO2,Orthorhombic,Pnma,62,0.091534996666666,-3.416520455277778,False,2.709999999999999,False,3.87153446342509,24,274.0417934814095,11.418408061725396,156.5264442898846,0.5711772730041743,57.11772730041743
Ti-O,TiO2_2901430_POSCAR,mp-2901430,TiO2,Orthorhombic,Pmmn,59,0.178545862916665,-3.329509589027778,False,2.9417,False,3.366734161788899,24,315.13098358747766,13.130457649478236,156.5264442898846,0.49670280753727986,49.67028075372799
Ti-O,TiO2_430_POSCAR,mp-430,TiO2,Monoclinic,P2_1/c,14,0.039483500833334,-3.46857195111111,False,2.2317,False,4.555389330254649,12,116.45132506159356,9.70427708846613,78.26322214494242,0.6720681117501012,67.20681117501012
Ti-O,TiO2_554278_POSCAR,mp-554278,TiO2,Monoclinic,C2/m,12,0.006417397499999,-3.501638054444445,False,2.6774,False,3.615939061446627,12,146.70632301111073,12.22552691759256,78.26322214494242,0.5334686367881717,53.34686367881717
Ti-O,TiO2_636827_POSCAR,mp-636827,TiO2,Orthorhombic,Pmm2,25,0.308576689166665,-3.199478762777778,False,2.7867,False,1.401379572198959,6,189.27103493761172,31.545172489601953,39.13161107247118,0.20674907328197312,20.67490732819731
Ti-O,TiO2_655656_POSCAR,mp-655656,TiO2,Orthorhombic,Cmm2,35,0.311595178333332,-3.196460273611111,False,2.8326,False,1.4010542312714391,12,378.62997163645304,31.552497636371086,78.26322214494242,0.2067010749484142,20.67010749484142
Ti-O,TiO2_754769_POSCAR,mp-754769,TiO2,Orthorhombic,Pnma,62,0.036293397500001,-3.471762054444443,False,2.2868999999999997,False,4.074066977099461,24,260.4184599433002,10.850769164304175,156.5264442898846,0.6010574070822953,60.105740708229526
Ti-O,TiO2_756587_POSCAR,mp-756587,TiO2,Hexagonal,P6_3mc,186,0.117958436249999,-3.390097015694445,False,2.3165,False,3.819763262577428,24,277.75602145250065,11.57316756052086,156.5264442898846,0.5635393374060564,56.35393374060564
Ti-O,TiO2_756655_POSCAR,mp-756655,TiO2,Orthorhombic,Pnma,62,0.074462540416666,-3.433592911527778,False,2.4804,False,3.772811763485229,24,281.2126112811967,11.717192136716529,156.5264442898846,0.556612463348477,55.661246334847704
Ti-O,TiO2_775938_POSCAR,mp-775938,TiO2,Orthorhombic,Pbcn,60,0.012246891111111,-3.495808560833333,False,2.1536,False,4.260613991086743,36,373.5244204596958,10.375678346102662,234.78966643482696,0.6285791599539108,62.85791599539108
Ti-O,TiO2_777129_POSCAR,mp-777129,TiO2,Triclinic,P1,1,0.053828319166665,-3.454227132777779,False,3.3487,False,2.238874651374489,54,1066.2343498463047,19.745080552709346,352.18449965224045,0.3303068408019373,33.03068408019373
Ti-O,TiO2_849533_POSCAR,mp-849533,TiO2,Orthorhombic,Pnma,62,0.096698458749999,-3.411356993194444,False,2.786299999999999,False,3.317152933846912,24,319.84122198782586,13.326717582826078,156.5264442898846,0.48938796355599995,48.9387963556
Ti-S,Ti13S24_684731_POSCAR,mp-684731,Ti13S24,Triclinic,P-1,2,0.001580217567565,-1.6392080771171171,False,0.0,True,3.246731468609211,37,711.8512175792906,19.239222096737585,339.4218590840459,0.47681573157699747,47.681573157699745
Ti-S,Ti2S_616559_POSCAR,mp-616559,Ti2S,Orthorhombic,Pnnm,58,0.0,-1.254497415555554,True,0.0,True,4.828433316784582,36,527.413887485313,14.650385763480918,469.9634114211116,0.8910713626861005,89.10713626861005
Ti-S,Ti2S3_1101099_POSCAR,mp-1101099,Ti2S3,Monoclinic,C2/m,12,0.0,-1.706255212833332,True,0.0,True,3.6485782658284,10,174.70125583411473,17.470125583411473,97.72342828011533,0.5593745037122533,55.937450371225324
Ti-S,Ti2S3_1217192_POSCAR,mp-1217192,Ti2S3,Monoclinic,C2/c,15,0.025767256499999,-1.680487956333333,False,0.0,True,3.654237267616948,20,348.8614219073141,17.443071095365703,195.4468565602305,0.5602421026998997,56.02421026998997
Ti-S,Ti3S2_1217073_POSCAR,mp-1217073,Ti3S2,Trigonal,R32,155,0.298872062499999,-1.141571572999999,False,0.0,True,4.178284977229527,5,82.55670522286181,16.51134104457236,61.16995055804688,0.740944668187988,74.0944668187988
Ti-S,Ti3S4_1217101_POSCAR,mp-1217101,Ti3S4,Trigonal,P3m1,156,0.102929152142856,-1.607071132857142,False,0.0,True,3.719729457182537,7,121.36253885672338,17.337505550960483,70.86804707967858,0.583936754679655,58.3936754679655
